# path	origin	hardware-error	safety-bytes	final-ELF-root	functions (reviewed stack contributors)
extended-unavailable	user	0	4096	isr6	authorize_interrupt_entry;check_direct_port_control;check_fast_entry_control;complete_interrupt_entry;extended_state_denial_handler;fail;finish;in8;in32;l_LeanOS_InterruptEntry_entryDemo;l_LeanOS_PrivilegeEntryControl_controlScalar;leanos_entry_demo;leanos_extended_state_denial_demo;leanos_privilege_entry_control_demo;out8;out32;pci_config_dword;serial_putc;serial_puts;serial_u64;validate_user_return;verify_q35_pci_dma;verify_vtd_state;vtd_mmio_read32;vtd_mmio_read64
extended-denied	user	0	4096	isr7	authorize_interrupt_entry;check_direct_port_control;check_fast_entry_control;complete_interrupt_entry;extended_state_denial_handler;fail;finish;in8;in32;l_LeanOS_InterruptEntry_entryDemo;l_LeanOS_PrivilegeEntryControl_controlScalar;leanos_entry_demo;leanos_extended_state_denial_demo;leanos_privilege_entry_control_demo;out8;out32;pci_config_dword;serial_putc;serial_puts;serial_u64;validate_user_return;verify_q35_pci_dma;verify_vtd_state;vtd_mmio_read32;vtd_mmio_read64
