# path	origin	hardware-error	safety-bytes	final-ELF-root	functions (reviewed stack contributors)
extended-unavailable	user	0	4096	isr6	authorize_interrupt_entry;extended_state_denial_handler;fail;finish;in8;l_LeanOS_InterruptEntry_entryDemo;leanos_entry_demo;leanos_extended_state_denial_demo;out8;serial_putc;serial_puts
extended-denied	user	0	4096	isr7	authorize_interrupt_entry;extended_state_denial_handler;fail;finish;in8;l_LeanOS_InterruptEntry_entryDemo;leanos_entry_demo;leanos_extended_state_denial_demo;out8;serial_putc;serial_puts
syscall	user	0	4096	isr80_cld	authorize_interrupt_entry;check_direct_port_control;check_fast_entry_control;check_initial_b_frame;check_original_frame;check_resumable_witness;fail;finish;in8;l_LeanOS_CapabilityReuse_scenarioTransition___redArg;l_LeanOS_InterruptEntry_entryDemo;leanos_blocking_ipc_demo;leanos_capability_reuse_demo;leanos_entry_demo;leanos_resumable_preemption_demo;out8;report_entry_stack_high_water;serial_putc;serial_puts;serial_u64;switch_complete;syscall_handler;validate_user_return
timer-switch	user	0	4096	isr32_cld	authorize_interrupt_entry;check_direct_port_control;check_fast_entry_control;check_initial_b_frame;check_original_frame;check_resumable_witness;fail;finish;in8;l_LeanOS_InterruptEntry_entryDemo;leanos_entry_demo;leanos_preemption_demo;leanos_resumable_preemption_demo;out8;serial_putc;serial_puts;switch_complete;timer_handler;validate_user_return
user-page-fault	user	1	4096	isr14_cld	authorize_interrupt_entry;complete_interrupt_entry;fail;finish;in8;l_LeanOS_InterruptEntry_entryDemo;leanos_entry_demo;out8;page_fault_handler;report_entry_stack_high_water;serial_putc;serial_puts;serial_u64
kernel-diagnostic	kernel	1	4096	isr14_cld	authorize_interrupt_entry;complete_interrupt_entry;fail;finish;in8;l_LeanOS_InterruptEntry_entryDemo;leanos_entry_demo;out8;page_fault_handler;report_entry_stack_high_water;serial_putc;serial_puts;serial_u64
