leanos-serial-protocol	1
source-revision	26dda8e6c600df9d90770b14189a7cd6ab86fc4c
record	16	DIRECT-PORT-CANARY	LEANOS_SERIAL_16_DIRECT_PORT_CANARY	LEANOS/16 DIRECT-PORT-CANARY
record	16	DIRECT-PORT-CONTROL	LEANOS_SERIAL_16_DIRECT_PORT_CONTROL	LEANOS/16 DIRECT-PORT-CONTROL
record	16	DIRECT-PORT-DENIAL	LEANOS_SERIAL_16_DIRECT_PORT_DENIAL	LEANOS/16 DIRECT-PORT-DENIAL
record	16	DIRECT-PORT-DISPATCH	LEANOS_SERIAL_16_DIRECT_PORT_DISPATCH	LEANOS/16 DIRECT-PORT-DISPATCH
record	16	DIRECT-PORT-PEER	LEANOS_SERIAL_16_DIRECT_PORT_PEER	LEANOS/16 DIRECT-PORT-PEER
record	16	DIRECT-PORT-TERMINATE	LEANOS_SERIAL_16_DIRECT_PORT_TERMINATE	LEANOS/16 DIRECT-PORT-TERMINATE
record	16	ENTER	LEANOS_SERIAL_16_ENTER	LEANOS/16 ENTER
record	16	FINAL	LEANOS_SERIAL_16_FINAL	LEANOS/16 FINAL
record	17	BOOT	LEANOS_SERIAL_17_BOOT	LEANOS/17 BOOT
record	17	ENTRY-MANIFEST	LEANOS_SERIAL_17_ENTRY_MANIFEST	LEANOS/17 ENTRY-MANIFEST
record	17	NMI	LEANOS_SERIAL_17_NMI	LEANOS/17 NMI
record	17	NMI-READY	LEANOS_SERIAL_17_NMI_READY	LEANOS/17 NMI-READY
record	18	BOOT	LEANOS_SERIAL_18_BOOT	LEANOS/18 BOOT
record	18	BREAKPOINT-DISPATCH	LEANOS_SERIAL_18_BREAKPOINT_DISPATCH	LEANOS/18 BREAKPOINT-DISPATCH
record	18	BREAKPOINT-ENTRY	LEANOS_SERIAL_18_BREAKPOINT_ENTRY	LEANOS/18 BREAKPOINT-ENTRY
record	18	BREAKPOINT-PEER	LEANOS_SERIAL_18_BREAKPOINT_PEER	LEANOS/18 BREAKPOINT-PEER
record	18	BREAKPOINT-TERMINATE	LEANOS_SERIAL_18_BREAKPOINT_TERMINATE	LEANOS/18 BREAKPOINT-TERMINATE
record	18	DIVIDE-ERROR-DISPATCH	LEANOS_SERIAL_18_DIVIDE_ERROR_DISPATCH	LEANOS/18 DIVIDE-ERROR-DISPATCH
